GATE: ABORT conf= 15 E=    0 C=  1147 ZCR=  9 T=1481us noise=    0 wakes= 0/50
SCHED: wcet=1515us avg=1481us duty=0.74% irq_latN_START,0
376463,GUARDIAN_END,1480
376463,FRAME_START,0
376481,GUARDIAN_START,0
376483,GUARDIAN_END,1481
376483,FRAME_START,0
376501,GUARDIAN_START,0
376503,GUARDIAN_END,1482
376503,FRAME_START,0
376521,GUARDIAN_START,0
376523,GUARDIAN_END,1482
376523,FRAME_START,0
376541,GUARDIAN_START,0
376543,GUARDIAN_END,1481
376543,FRAME_START,0
376561,GUARDIAN_START,0
376563,GUARDIAN_END,1476
376563,FRAME_START,0
376581,GUARDIAN_START,0
376583,GUARDIAN_END,1481
376583,FRAME_START,0
376601,GUARDIAN_START,0
376603,GUARDIAN_END,1482
376603,FRAME_START,0
376621,GUARDIAN_START,0
376623,GUARDIAN_END,1481
376623,FRAME_START,0
376641,GUARDIAN_START,0
376643,GUARDIAN_END,1480
376643,FRAME_START,0
376661,GUARDIAN_START,0
376663,GUARDIAN_END,1481
376663,FRAME_START,0
376681,GUARDIAN_START,0
376683,GUARDIAN_END,1481
376683,FRAME_START,0
376701,GUARDIAN_START,0
376703,GUARDIAN_END,1481
376703,FRAME_START,0
376721,GUARDIAN_START,0
376723,GUARDIAN_END,1481
376723,FRAME_START,0
376741,GUARDIAN_START,0
376743,GUARDIAN_END,1482
376743,FRAME_START,0
376761,GUARDIAN_START,0
376763,GUARDIAN_END,1481
376763,FRAME_START,0
376781,GUARDIAN_START,0
376783,GUARDIAN_END,1481
376783,FRAME_START,0
376801,GUARDIAN_START,0
376803,GUARDIAN_END,1481
376803,FRAME_START,0
376821,GUARDIAN_START,0
376823,GUARDIAN_END,1481
376823,FRAME_START,0
376841,GUARDIAN_START,0
376843,GUARDIAN_END,1480
376843,FRAME_START,0
376861,GUARDIAN_START,0
376863,GUARDIAN_END,1480
376863,FRAME_START,0
376881,GUARDIAN_START,0
376883,GUARDIAN_END,1481
376883,FRAME_START,0
376901,GUARDIAN_START,0
376903,GUARDIAN_END,1481
376903,FRAME_START,0
376921,GUARDIAN_START,0
376923,GUARDIAN_END,1481
376923,FRAME_START,0
376941,GUARDIAN_START,0
376943,GUARDIAN_END,1481
376943,FRAME_START,0
376961,GUARDIAN_START,0
376963,GUARDIAN_END,1482
RAW: min=   -34 max=    22 samples[0..3]=-22 -19 -23 -21
RES0: min=    -2 max=     2
GATE: ABORT conf= 15 E=    0 C=     0 ZCR= 10 T=1481us noise=    0 wakes= 0/50
SCHED: wcet=1524us avg=1481us duty=0.74% irq_lat_avg=1ms irq_lat_max=20ms
DEADLINE: misses=25/15200  miss_rate=0.16%
377297,FRAME_START,0
377306,GUARDIAN_START,0
377307,GUARDIAN_END,1481
377307,FRAME_START,0
377308,GUARDIAN_START,0
377309,GUARDIAN_END,1481
377309,FRAME_START,0
377310,GUARDIAN_START,0
377312,GUARDIAN_END,1481
377312,FRAME_START,0
377313,GUARDIAN_START,0
377314,GUARDIAN_END,1481
377314,FRAME_START,0
377315,GUARDIAN_START,0
377317,GUARDIAN_END,1481
377317,FRAME_START,0
377321,GUARDIAN_START,0
377323,GUARDIAN_END,1481
377323,FRAME_START,0
377341,GUARDIAN_START,0
377343,GUARDIAN_END,1481
377343,FRAME_START,0
377361,GUARDIAN_START,0
377363,GUARDIAN_END,1481
377363,FRAME_START,0
377381,GUARDIAN_START,0
377383,GUARDIAN_END,1481
377383,FRAME_START,0
377401,GUARDIAN_START,0
377403,GUARDIAN_END,1481
377403,FRAME_START,0
377421,GUARDIAN_START,0
377423,GUARDIAN_END,1482
377423,FRAME_START,0
377441,GUARDIAN_START,0
377443,GUARDIAN_END,1481
377443,FRAME_START,0
377461,GUARDIAN_START,0
377463,GUARDIAN_END,1481
377463,FRAME_START,0
377481,GUARDIAN_START,0
377483,GUARDIAN_END,1482
377483,FRAME_START,0
377501,GUARDIAN_START,0
377503,GUARDIAN_END,1482
377503,FRAME_START,0
377521,GUARDIAN_START,0
377523,GUARDIAN_END,1481
377523,FRAME_START,0
377541,GUARDIAN_START,0
377543,GUARDIAN_END,1481
377543,FRAME_START,0
377561,GUARDIAN_START,0
377563,GUARDIAN_END,1482
377563,FRAME_START,0
377581,GUARDIAN_START,0
377583,GUARDIAN_END,1482
377583,FRAME_START,0
377601,GUARDIAN_START,0
377603,GUARDIAN_END,1481
377603,FRAME_START,0
377621,GUARDIAN_START,0
377623,GUARDIAN_END,1482
377623,FRAME_START,0
377641,GUARDIAN_START,0
377643,GUARDIAN_END,1482
377643,FRAME_START,0
377661,GUARDIAN_START,0
377663,GUARDIAN_END,1481
377663,FRAME_START,0
377681,GUARDIAN_START,0
377683,GUARDIAN_END,1481
377683,FRAME_START,0
377701,GUARDIAN_START,0
377703,GUARDIAN_END,1482
377703,FRAME_START,0
377721,GUARDIAN_START,0
377723,GUARDIAN_END,1481
377723,FRAME_START,0
377741,GUARDIAN_START,0
377743,GUARDIAN_END,1482
377743,FRAME_START,0
377761,GUARDIAN_START,0
377763,GUARDIAN_END,1482
377763,FRAME_START,0
377781,GUARDIAN_START,0
377783,GUARDIAN_END,1482
377783,FRAME_START,0
377801,GUARDIAN_START,0
377803,GUARDIAN_END,1481
377803,FRAME_START,0
377821,GUARDIAN_START,0
377823,GUARDIAN_END,1481
377823,FRAME_START,0
377841,GUARDIAN_START,0
377843,GUARDIAN_END,1481
377843,FRAME_START,0
377861,GUARDIAN_START,0
377863,GUARDIAN_END,1482
377863,FRAME_START,0
377881,GUARDIAN_START,0
377883,GUARDIAN_END,1481
377883,FRAME_START,0
377901,GUARDIAN_START,0
377903,GUARDIAN_END,1481
377903,FRAME_START,0
377921,GUARDIAN_START,0
377923,GUARDIAN_END,1482
377923,FRAME_START,0
377941,GUARDIAN_START,0
377943,GUARDIAN_END,1481
377943,FRAME_START,0
377961,GUARDIAN_START,0
377963,GUARDIAN_END,1481
377963,FRAME_START,0
377981,GUARDIAN_START,0
377983,GUARDIAN_END,1481
377983,FRAME_START,0
378001,GUARDIAN_START,0
378003,GUARDIAN_END,1481
378003,FRAME_START,0
378021,GUARDIAN_START,0
378023,GUARDIAN_END,1481
378023,FRAME_START,0
378041,GUARDIAN_START,0
378043,GUARDIAN_END,1481
378043,FRAME_START,0
