GATE: ABORT conf= 15 E=    0 C=     0 ZCR=  4 T=1461us noise=    0 wakes= 1/50
SCHED: wcet=1521us avg=1462us duty=0.73% irq_latGUARDIAN_START,0
145048,GUARDIAN_END,1482
145048,FRAME_START,0
145066,GUARDIAN_START,0
145068,GUARDIAN_END,1482
145068,FRAME_START,0
145087,GUARDIAN_START,0
145088,GUARDIAN_END,1480
145088,FRAME_START,0
145107,GUARDIAN_START,0
145108,GUARDIAN_END,1482
145108,FRAME_START,0
145127,GUARDIAN_START,0
145128,GUARDIAN_END,1482
145128,FRAME_START,0
145147,GUARDIAN_START,0
145148,GUARDIAN_END,1482
145148,FRAME_START,0
145166,GUARDIAN_START,0
145168,GUARDIAN_END,1481
145168,FRAME_START,0
145186,GUARDIAN_START,0
145188,GUARDIAN_END,1482
145188,FRAME_START,0
145207,GUARDIAN_START,0
145208,GUARDIAN_END,1482
145208,FRAME_START,0
145227,GUARDIAN_START,0
145228,GUARDIAN_END,1482
145228,FRAME_START,0
145247,GUARDIAN_START,0
145248,GUARDIAN_END,1482
145248,FRAME_START,0
145266,GUARDIAN_START,0
145268,GUARDIAN_END,1482
145268,FRAME_START,0
145286,GUARDIAN_START,0
145288,GUARDIAN_END,1482
145288,FRAME_START,0
145307,GUARDIAN_START,0
145308,GUARDIAN_END,1482
145308,FRAME_START,0
145327,GUARDIAN_START,0
145328,GUARDIAN_END,1482
145328,FRAME_START,0
145347,GUARDIAN_START,0
145348,GUARDIAN_END,1482
145348,FRAME_START,0
145367,GUARDIAN_START,0
145368,GUARDIAN_END,1482
145368,FRAME_START,0
145386,GUARDIAN_START,0
145388,GUARDIAN_END,1482
145388,FRAME_START,0
145406,GUARDIAN_START,0
145408,GUARDIAN_END,1482
145408,FRAME_START,0
145427,GUARDIAN_START,0
145428,GUARDIAN_END,1482
145428,FRAME_START,0
145447,GUARDIAN_START,0
145448,GUARDIAN_END,1482
145448,FRAME_START,0
145467,GUARDIAN_START,0
145468,GUARDIAN_END,1482
145468,FRAME_START,0
145486,GUARDIAN_START,0
145488,GUARDIAN_END,1481
145488,FRAME_START,0
145506,GUARDIAN_START,0
145508,GUARDIAN_END,1481
145508,FRAME_START,0
145527,GUARDIAN_START,0
145528,GUARDIAN_END,1482
145528,FRAME_START,0
145547,GUARDIAN_START,0
145548,GUARDIAN_END,1482
145548,FRAME_START,0
145567,GUARDIAN_START,0
145568,GUARDIAN_END,1482
145568,FRAME_START,0
145587,GUARDIAN_START,0
145588,GUARDIAN_END,1482
RAW: min=   -62 max=    66 samples[0..3]=-21 -20 -17 -8
RES0: min=    -6 max=     8
GATE: ABORT conf= 15 E=    0 C=  1345 ZCR= 12 T=1482us noise=    0 wakes= 0/50
SCHED: wcet=1515us avg=1481us duty=0.74% irq_lat_avg=3ms irq_lat_max=20ms
DEADLINE: misses=4200/5900  miss_rate=71.18%
145923,FRAME_START,0
145931,GUARDIAN_START,0
145933,GUARDIAN_END,1482
145933,FRAME_START,0
145934,GUARDIAN_START,0
145935,GUARDIAN_END,1481
145935,FRAME_START,0
145936,GUARDIAN_START,0
145938,GUARDIAN_END,1481
145938,FRAME_START,0
145939,GUARDIAN_START,0
145940,GUARDIAN_END,1482
145940,FRAME_START,0
145941,GUARDIAN_START,0
145942,GUARDIAN_END,1481
145942,FRAME_START,0
145947,GUARDIAN_START,0
145948,GUARDIAN_END,1482
145948,FRAME_START,0
145967,GUARDIAN_START,0
