GATE: WAKE  conf=100 E= 3373 C= 32731 ZCR= 32 T=1489us noise=    0 wakes=50/50
SCHED: wcet=1489us avg=1489us duty=0.74% irq_latSTART,0
45256,GUARDIAN_END,1495
45256,FRAME_START,0
45277,GUARDIAN_START,0
45279,GUARDIAN_END,1495
45279,FRAME_START,0
45300,GUARDIAN_START,0
45302,GUARDIAN_END,1495
45302,FRAME_START,0
45323,GUARDIAN_START,0
45324,GUARDIAN_END,1495
45324,FRAME_START,0
45340,TINYML_END,0
45340,TINYML_START,0
45346,GUARDIAN_START,0
45347,GUARDIAN_END,1495
45347,FRAME_START,0
45368,GUARDIAN_START,0
45370,GUARDIAN_END,1495
45370,FRAME_START,0
45391,GUARDIAN_START,0
45393,GUARDIAN_END,1495
45393,FRAME_START,0
45414,GUARDIAN_START,0
45416,GUARDIAN_END,1495
45416,FRAME_START,0
45437,GUARDIAN_START,0
45438,GUARDIAN_END,1495
45438,FRAME_START,0
45453,TINYML_END,0
45453,TINYML_START,0
45460,GUARDIAN_START,0
45461,GUARDIAN_END,1495
45461,FRAME_START,0
45482,GUARDIAN_START,0
45484,GUARDIAN_END,1495
45484,FRAME_START,0
45505,GUARDIAN_START,0
45507,GUARDIAN_END,1495
45507,FRAME_START,0
45528,GUARDIAN_START,0
45529,GUARDIAN_END,1495
45529,FRAME_START,0
45551,GUARDIAN_START,0
45552,GUARDIAN_END,1495
45552,FRAME_START,0
45567,TINYML_END,0
45567,TINYML_START,0
45574,GUARDIAN_START,0
45575,GUARDIAN_END,1495
45575,FRAME_START,0
45596,GUARDIAN_START,0
45598,GUARDIAN_END,1495
45598,FRAME_START,0
45619,GUARDIAN_START,0
45621,GUARDIAN_END,1495
45621,FRAME_START,0
45642,GUARDIAN_START,0
45643,GUARDIAN_END,1495
45643,FRAME_START,0
45665,GUARDIAN_START,0
45666,GUARDIAN_END,1495
45666,FRAME_START,0
45680,TINYML_END,0
45680,TINYML_START,0
45688,GUARDIAN_START,0
45689,GUARDIAN_END,1495
45689,FRAME_START,0
45710,GUARDIAN_START,0
45712,GUARDIAN_END,1495
45712,FRAME_START,0
45733,GUARDIAN_START,0
45735,GUARDIAN_END,1495
45735,FRAME_START,0
45756,GUARDIAN_START,0
45757,GUARDIAN_END,1495
45757,FRAME_START,0
45779,GUARDIAN_START,0
45780,GUARDIAN_END,1495
45780,FRAME_START,0
45793,TINYML_END,0
45793,TINYML_START,0
45802,GUARDIAN_START,0
45803,GUARDIAN_END,1495
45803,FRAME_START,0
45824,GUARDIAN_START,0
45826,GUARDIAN_END,1495
45826,FRAME_START,0
45847,GUARDIAN_START,0
45849,GUARDIAN_END,1495
45849,FRAME_START,0
45870,GUARDIAN_START,0
45871,GUARDIAN_END,1495
45871,FRAME_START,0
45893,GUARDIAN_START,0
45894,GUARDIAN_END,1495
45894,FRAME_START,0
45907,TINYML_END,0
45907,TINYML_START,0
45916,GUARDIAN_START,0
45917,GUARDIAN_END,1495
45917,FRAME_START,0
45938,GUARDIAN_START,0
45940,GUARDIAN_END,1495
45940,FRAME_START,0
45961,GUARDIAN_START,0
45963,GUARDIAN_END,1495
45963,FRAME_START,0
45984,GUARDIAN_START,0
45985,GUARDIAN_END,1495
45985,FRAME_START,0
46007,GUARDIAN_START,0
46008,GUARDIAN_END,1495
46008,FRAME_START,0
46020,TINYML_END,0
46020,TINYML_START,0
46029,GUARDIAN_START,0
46031,GUARDIAN_END,1495
46031,FRAME_START,0
46052,GUARDIAN_START,0
46054,GUARDIAN_END,1495
46054,FRAME_START,0
46075,GUARDIAN_START,0
46077,GUARDIAN_END,1495
46077,FRAME_START,0
46098,GUARDIAN_START,0
46099,GUARDIAN_END,1495
46099,FRAME_START,0
46121,GUARDIAN_START,0
46122,GUARDIAN_END,1495
46122,FRAME_START,0
46133,TINYML_END,0
46133,TINYML_START,0
46143,GUARDIAN_START,0
46145,GUARDIAN_END,1495
46145,FRAME_START,0
46166,GUARDIAN_START,0
46168,GUARDIAN_END,1495
46168,FRAME_START,0
46189,GUARDIAN_START,0
46191,GUARDIAN_END,1495
GATE: WAKE  conf=100 E= 3373 C= 32731 ZCR= 31 T=1495us noise=    0 wakes=50/50
SCHED: wcet=1495us avg=1495us duty=0.74% irq_lat_avg=0ms irq_lat_max=0ms
46544,FRAME_START,0
46565,GUARDIAN_START,0
46566,GUARDIAN_END,1495
46566,FRAME_START,0
46588,GUARDIAN_START,0
46589,GUARDIAN_END,1495
46589,FRAME_START,0
46600,TINYML_END,0
46600,TINYML_START,0
46610,GUARDIAN_START,0
46612,GUARDIAN_END,1495
46612,FRAME_START,0
46633,GUARDIAN_START,0
46635,GUARDIAN_END,1495
46635,FRAME_START,0
46656,GUARDIAN_START,0
46657,GUARDIAN_END,1495
46657,FRAME_START,0
46679,GUARDIAN_START,0
46680,GUARDIAN_END,1495
46680,FRAME_START,0
46702,GUARDIAN_START,0
46703,GUARDIAN_END,1495
46703,FRAME_START,0
46713,TINYML_END,0
46713,TINYML_START,0
46724,GUARDIAN_START,0
46726,GUARDIAN_END,1495
46726,FRAME_START,0
46747,GUARDIAN_START,0
46749,GUARDIAN_END,1495
46749,FRAME_START,0
46770,GUARDIAN_START,0
46771,GUARDIAN_END,1495
46771,FRAME_START,0
46793,GUARDIAN_START,0
46794,GUARDIAN_END,1495
46794,FRAME_START,0
46815,GUARDIAN_START,0
46817,GUARDIAN_END,1495
46817,FRAME_START,0
46826,TINYML_END,0
46826,TINYML_START,0
46838,GUARDIAN_START,0
46840,GUARDIAN_END,1495
46840,FRAME_START,0
46861,GUARDIAN_START,0
46863,GUARDIAN_END,1495
46863,FRAME_START,0
46884,GUARDIAN_START,0
46885,GUARDIAN_END,1495
46885,FRAME_START,0
46907,GUARDIAN_START,0
46908,GUARDIAN_END,1495
46908,FRAME_START,0
46929,GUARDIAN_START,0
46931,GUARDIAN_END,1495
46931,FRAME_START,0
46940,TINYML_END,0
46940,TINYML_START,0
46952,GUARDIAN_START,0
46954,GUARDIAN_END,1495
46954,FRAME_START,0
46975,GUARDIAN_START,0
46977,GUARDIAN_END,1495
46977,FRAME_START,0
46998,GUARDIAN_START,0
46999,GUARDIAN_END,1495
46999,FRAME_START,0
47021,GUARDIAN_START,0
47022,GUARDIAN_END,1495
47022,FRAME_START,0
47043,GUARDIAN_START,0
47045,GUARDIAN_END,1495
47045,FRAME_START,0
47053,TINYML_END,0
47053,TINYML_START,0
47066,GUARDIAN_START,0
47068,GUARDIAN_END,1495
47068,FRAME_START,0
47089,GUARDIAN_START,0
47090,GUARDIAN_END,1495
47090,FRAME_START,0
47112,GUARDIAN_START,0
47113,GUARDIAN_END,1495
47113,FRAME_START,0
47135,GUARDIAN_START,0
47136,GUARDIAN_END,1495
47136,FRAME_START,0
47157,GUARDIAN_START,0
47159,GUARDIAN_END,1495
47159,FRAME_START,0
47166,TINYML_END,0
47166,TINYML_START,0
47180,GUARDIAN_START,0
47182,GUARDIAN_END,1495
47182,FRAME_START,0
47203,GUARDIAN_START,0
47204,GUARDIAN_END,1495
47204,FRAME_START,0
47226,GUARDIAN_START,0
47227,GUARDIAN_END,1495
47227,FRAME_START,0
47248,GUARDIAN_START,0
47250,GUARDIAN_END,1495
47250,FRAME_START,0
47271,GUARDIAN_START,0
47273,GUARDIAN_END,1495
47273,FRAME_START,0
47280,TINYML_END,0
47280,TINYML_START,0
47294,GUARDIAN_START,0
47296,GUARDIAN_END,1495
47296,FRAME_START,0
47317,GUARDIAN_START,0
47318,GUARDIAN_END,1495
47318,FRAME_START,0
47340,GUARDIAN_START,0
47341,GUARDIAN_END,1495
47341,FRAME_START,0
47362,GUARDIAN_START,0
47364,GUARDIAN_END,1495
47364,FRAME_START,0
47385,GUARDIAN_START,0
47387,GUARDIAN_END,1495
47387,FRAME_START,0
47393,TINYML_END,0
47393,TINYML_START,0
47408,GUARDIAN_START,0
47410,GUARDIAN_END,1495
47410,FRAME_START,0
47431,GUARDIAN_START,0
47432,GUARDIAN_END,1495
47432,FRAME_START,0
47454,GUARDIAN_START,0
47455,GUARDIAN_END,1495
47455,FRAME_START,0
47476,GUARDIAN_START,0
47478,GUARDIAN_END,1495
47478,FRAME_START,0
47499,GUARDIAN_START,0
47501,GUARDIAN_END,1495
47501,FRAME_START,0
47506,TINYML_END,0
47506,TINYML_START,0
47522,GUARDIAN_START,0
47523,GUARDIAN_END,1495
47523,FRAME_START,0
47545,GUARDIAN_START,0
47546,GUARDIAN_END,1495
47546,FRAME_START,0
47568,GUARDIAN_START,0
47569,GUARDIAN_END,1495
47569,FRAME_START,0
47590,GUARDIAN_START,0
47592,GUARDIAN_END,1495
47592,FRAME_START,0
47613,GUARDIAN_START,0
47615,GUARDIAN_END,1495
47615,FRAME_START,0
47620,TINYML_END,0
47620,TINYML_START,0
47636,GUARDIAN_START,0
47637,GUARDIAN_END,1495
47637,FRAME_START,0
47659,GUARDIAN_START,0
47660,GUARDIAN_END,1495
47660,FRAME_START,0
47681,GUARDIAN_START,0
47683,GUARDIAN_END,1495
GATE: WAKE  conf=100 E= 3374 C= 32731 ZCR= 32 T=1495us noise=    0 wakes=50/50
SCHED: wcet=1495us avg=1495us duty=0.74% irq_lat_avg=0ms irq_lat_max=0ms
48036,FRAME_START,0
48057,GUARDIAN_START,0
48059,GUARDIAN_END,1495
48059,FRAME_START,0
48080,GUARDIAN_START,0
48081,GUARDIAN_END,1495
48081,FRAME_START,0
48086,TINYML_END,0
48086,TINYML_START,0
48103,GUARDIAN_START,0
48104,GUARDIAN_END,1495
48104,FRAME_START,0
48126,GUARDIAN_START,0
48127,GUARDIAN_END,1495
48127,FRAME_START,0
48148,GUARDIAN_START,0
48150,GUARDIAN_END,1495
48150,FRAME_START,0
48171,GUARDIAN_START,0
48173,GUARDIAN_END,1495
48173,FRAME_START,0
48194,GUARDIAN_START,0
48195,GUARDIAN_END,1495
48195,FRAME_START,0
48199,TINYML_END,0
48199,TINYML_START,0
48217,GUARDIAN_START,0
48218,GUARDIAN_END,1495
48218,FRAME_START,0
48239,GUARDIAN_START,0
48241,GUARDIAN_END,1495
48241,FRAME_START,0
48262,GUARDIAN_START,0
48264,GUARDIAN_END,1495
48264,FRAME_START,0
48285,GUARDIAN_START,0
48287,GUARDIAN_END,1495
48287,FRAME_START,0
48308,GUARDIAN_START,0
48309,GUARDIAN_END,1495
48309,FRAME_START,0
48313,TINYML_END,0
48313,TINYML_START,0
48331,GUARDIAN_START,0
48332,GUARDIAN_END,1495
48332,FRAME_START,0
48353,GUARDIAN_START,0
48355,GUARDIAN_END,1495
48355,FRAME_START,0
48376,GUARDIAN_START,0
48378,GUARDIAN_END,1495
48378,FRAME_START,0
48399,GUARDIAN_START,0
48400,GUARDIAN_END,1495
48400,FRAME_START,0
48422,GUARDIAN_START,0
48423,GUARDIAN_END,1495
48423,FRAME_START,0
48426,TINYML_END,0
48426,TINYML_START,0
48444,GUARDIAN_START,0
48446,GUARDIAN_END,1495
48446,FRAME_START,0
48467,GUARDIAN_START,0
48469,GUARDIAN_END,1495
48469,FRAME_START,0
48490,GUARDIAN_START,0
48492,GUARDIAN_END,1495
48492,FRAME_START,0
48513,GUARDIAN_START,0
48514,GUARDIAN_END,1495
48514,FRAME_START,0
48536,GUARDIAN_START,0
48537,GUARDIAN_END,1495
48537,FRAME_START,0
48539,TINYML_END,0
48539,TINYML_START,0
48558,GUARDIAN_START,0
48560,GUARDIAN_END,1495
48560,FRAME_START,0
48581,GUARDIAN_START,0
48583,GUARDIAN_END,1495
48583,FRAME_START,0
48604,GUARDIAN_START,0
48606,GUARDIAN_END,1495
48606,FRAME_START,0
48627,GUARDIAN_START,0
48628,GUARDIAN_END,1495
48628,FRAME_START,0
48650,GUARDIAN_START,0
48651,GUARDIAN_END,1495
48651,FRAME_START,0
48652,TINYML_END,0
48652,TINYML_START,0
48672,GUARDIAN_START,0
48674,GUARDIAN_END,1495
48674,FRAME_START,0
48695,GUARDIAN_START,0
48697,GUARDIAN_END,1495
48697,FRAME_START,0
48718,GUARDIAN_START,0
48719,GUARDIAN_END,1495
48719,FRAME_START,0
48741,GUARDIAN_START,0
48742,GUARDIAN_END,1495
48742,FRAME_START,0
48764,GUARDIAN_START,0
48765,GUARDIAN_END,1495
48765,FRAME_START,0
48766,TINYML_END,0
48766,TINYML_START,0
48786,GUARDIAN_START,0
48788,GUARDIAN_END,1495
48788,FRAME_START,0
48809,GUARDIAN_START,0
48811,GUARDIAN_END,1495
48811,FRAME_START,0
48832,GUARDIAN_START,0
48833,GUARDIAN_END,1495
48833,FRAME_START,0
48855,GUARDIAN_START,0
48856,GUARDIAN_END,1495
48856,FRAME_START,0
48876,TINYML_END,0
48876,TINYML_START,0
48877,GUARDIAN_START,0
48879,GUARDIAN_END,1495
48879,FRAME_START,0
48900,GUARDIAN_START,0
48902,GUARDIAN_END,1495
48902,FRAME_START,0
48923,GUARDIAN_START,0
48924,GUARDIAN_END,1495
48924,FRAME_START,0
48946,GUARDIAN_START,0
48947,GUARDIAN_END,1495
48947,FRAME_START,0
48968,GUARDIAN_START,0
48970,GUARDIAN_END,1495
48970,FRAME_START,0
48990,TINYML_END,0
48990,TINYML_START,0
48991,GUARDIAN_START,0
48993,GUARDIAN_END,1495
48993,FRAME_START,0
49014,GUARDIAN_START,0
49016,GUARDIAN_END,1495
49016,FRAME_START,0
49037,GUARDIAN_START,0
49038,GUARDIAN_END,1495
49038,FRAME_START,0
49060,GUARDIAN_START,0
49061,GUARDIAN_END,1495
49061,FRAME_START,0
49082,GUARDIAN_START,0
49084,GUARDIAN_END,1495
49084,FRAME_START,0
49103,TINYML_END,0
49103,TINYML_START,0
49105,GUARDIAN_START,0
49107,GUARDIAN_END,1495
49107,FRAME_START,0
49128,GUARDIAN_START,0
49129,GUARDIAN_END,1495
49129,FRAME_START,0
49151,GUARDIAN_START,0
49152,GUARDIAN_END,1495
49152,FRAME_START,0
49173,GUARDIAN_START,0
49175,GUARDIAN_END,1495
GATE: WAKE  conf=100 E= 3373 C= 32731 ZCR= 32 T=1495us noise=    0 wakes=50/50
SCHED: wcet=1495us avg=1495us duty=0.74% irq_lat_avg=0ms irq_lat_max=0ms
49528,FRAME_START,0
49549,GUARDIAN_START,0
49551,GUARDIAN_END,1495
49551,FRAME_START,0
49569,TINYML_END,0
49569,TINYML_START,0
49572,GUARDIAN_START,0
49573,GUARDIAN_END,1495
49573,FRAME_START,0
49595,GUARDIAN_START,0
49596,GUARDIAN_END,1495
49596,FRAME_START,0
49618,GUARDIAN_START,0
49619,GUARDIAN_END,1495
49619,FRAME_START,0
49640,GUARDIAN_START,0
49642,GUARDIAN_END,1495
49642,FRAME_START,0
49663,GUARDIAN_START,0
49665,GUARDIAN_END,1495
49665,FRAME_START,0
49682,TINYML_END,0
49682,TINYML_START,0
49686,GUARDIAN_START,0
49687,GUARDIAN_END,1495
49687,FRAME_START,0
49709,GUARDIAN_START,0
49710,GUARDIAN_END,1495
49710,FRAME_START,0
49731,GUARDIAN_START,0
49733,GUARDIAN_END,1495
49733,FRAME_START,0
49754,GUARDIAN_START,0
49756,GUARDIAN_END,1495
49756,FRAME_START,0
49777,GUARDIAN_START,0
49779,GUARDIAN_END,1495
49779,FRAME_START,0
49796,TINYML_END,0
49796,TINYML_START,0
49800,GUARDIAN_START,0
49801,GUARDIAN_END,1495
49801,FRAME_START,0
49823,GUARDIAN_START,0
49824,GUARDIAN_END,1495
49824,FRAME_START,0
49845,GUARDIAN_START,0
49847,GUARDIAN_END,1495
49847,FRAME_START,0
49868,GUARDIAN_START,0
49870,GUARDIAN_END,1495
49870,FRAME_START,0
49891,GUARDIAN_START,0
49893,GUARDIAN_END,1495
49893,FRAME_START,0
49909,TINYML_END,0
49909,TINYML_START,0
49914,GUARDIAN_START,0
49915,GUARDIAN_END,1495
49915,FRAME_START,0
49937,GUARDIAN_START,0
49938,GUARDIAN_END,1495
49938,FRAME_START,0
49959,GUARDIAN_START,0
49961,GUARDIAN_END,1495
49961,FRAME_START,0
49982,GUARDIAN_START,0
49984,GUARDIAN_END,1495
49984,FRAME_START,0
50005,GUARDIAN_START,0
50006,GUARDIAN_END,1495
50006,FRAME_START,0
50022,TINYML_END,0
50022,TINYML_START,0
50028,GUARDIAN_START,0
50029,GUARDIAN_END,1495
50029,FRAME_START,0
50050,GUARDIAN_START,0
50052,GUARDIAN_END,1495
50052,FRAME_START,0
50073,GUARDIAN_START,0
50075,GUARDIAN_END,1495
50075,FRAME_START,0
50096,GUARDIAN_START,0
50098,GUARDIAN_END,1495
50098,FRAME_START,0
50119,GUARDIAN_START,0
50120,GUARDIAN_END,1495
50120,FRAME_START,0
50136,TINYML_END,0
50136,TINYML_START,0
50142,GUARDIAN_START,0
50143,GUARDIAN_END,1495
50143,FRAME_START,0
50164,GUARDIAN_START,0
50166,GUARDIAN_END,1495
50166,FRAME_START,0
50187,GUARDIAN_START,0
50189,GUARDIAN_END,1495
50189,FRAME_START,0
50210,GUARDIAN_START,0
50211,GUARDIAN_END,1495
50211,FRAME_START,0
50233,GUARDIAN_START,0
50234,GUARDIAN_END,1495
50234,FRAME_START,0
50249,TINYML_END,0
50249,TINYML_START,0
50256,GUARDIAN_START,0
50257,GUARDIAN_END,1495
50257,FRAME_START,0
50278,GUARDIAN_START,0
50280,GUARDIAN_END,1495
50280,FRAME_START,0
50301,GUARDIAN_START,0
50303,GUARDIAN_END,1495
50303,FRAME_START,0
50324,GUARDIAN_START,0
50325,GUARDIAN_END,1495
50325,FRAME_START,0
50347,GUARDIAN_START,0
50348,GUARDIAN_END,1495
50348,FRAME_START,0
50362,TINYML_END,0
50362,TINYML_START,0
50370,GUARDIAN_START,0
50371,GUARDIAN_END,1495
50371,FRAME_START,0
50392,GUARDIAN_START,0
50394,GUARDIAN_END,1495
50394,FRAME_START,0
50415,GUARDIAN_START,0
50417,GUARDIAN_END,1495
50417,FRAME_START,0
50438,GUARDIAN_START,0
50439,GUARDIAN_END,1495
50439,FRAME_START,0
50461,GUARDIAN_START,0
50462,GUARDIAN_END,1495
50462,FRAME_START,0
50476,TINYML_END,0
50476,TINYML_START,0
50483,GUARDIAN_START,0
50485,GUARDIAN_END,1495
50485,FRAME_START,0
50506,GUARDIAN_START,0
50508,GUARDIAN_END,1495
50508,FRAME_START,0
50529,GUARDIAN_START,0
50531,GUARDIAN_END,1495
50531,FRAME_START,0
50552,GUARDIAN_START,0
50553,GUARDIAN_END,1495
50553,FRAME_START,0
50575,GUARDIAN_START,0
50576,GUARDIAN_END,1495
50576,FRAME_START,0
50589,TINYML_END,0
50589,TINYML_START,0
50597,GUARDIAN_START,0
50599,GUARDIAN_END,1495
50599,FRAME_START,0
50620,GUARDIAN_START,0
50622,GUARDIAN_END,1495
50622,FRAME_START,0
50643,GUARDIAN_START,0
50644,GUARDIAN_END,1495
50644,FRAME_START,0
50666,GUARDIAN_START,0
50667,GUARDIAN_END,1495
GATE: WAKE  conf=100 E= 3373 C= 32731 ZCR= 32 T=1495us noise=    0 wakes=50/50
SCHED: wcet=1495us avg=1495us duty=0.74% irq_lat_avg=0ms irq_lat_max=0ms
51020,FRAME_START,0
51041,GUARDIAN_START,0
51043,GUARDIAN_END,1495
51043,FRAME_START,0
51055,TINYML_END,0
